Disease,Symptoms,Precautions,Dietary Recommendations,Yoga & Exercises,Exercise Precautions
Diabetes,"Shortness of Breath, Nausea, Headache, Cough, Fever","Take Medications, Regular Checkups","Protein Rich, Avoid Processed Food, High Fiber","Meditation, Deep Breathing, Pranayama","Avoid Heavy Lifting, Monitor Heart Rate, Gradual Warm-Up"
Hypertension,"Fever, Joint Pain, Headache","Wear a Mask, Avoid Junk Food","Protein Rich, Avoid Processed Food, Low Sugar","Surya Namaskar, Pranayama","Avoid Heavy Lifting, Rest When Tired, Stay Hydrated"
Asthma,"Fatigue, Nausea, Shortness of Breath","Take Medications, Rest","High Fiber, Low Sugar, Avoid Processed Food","Stretching, Strength Training","Monitor Heart Rate, Rest When Tired"
Migraine,"Vomiting, Dizziness, Cough, Joint Pain","Exercise Regularly, Drink Water, Take Medications","Low Sugar, Vitamin D Rich","Strength Training, Deep Breathing, Pranayama","Monitor Heart Rate, Avoid Heavy Lifting, Gradual Warm-Up"
Arthritis,"Joint Pain, Chest Pain, Dizziness","Avoid Junk Food, Take Medications, Rest","Balanced Diet, High Fiber, Avoid Processed Food, Low Sugar","Surya Namaskar, Strength Training","Stay Hydrated, Rest When Tired"
Flu,"Nausea, Fever, Vomiting","Drink Water, Regular Checkups, Exercise Regularly","Protein Rich, Vitamin D Rich","Surya Namaskar, Meditation, Pranayama","Stay Hydrated, Gradual Warm-Up"
COVID-19,"Headache, Chest Pain, Cough, Shortness of Breath, Fever","Exercise Regularly, Rest, Drink Water","High Fiber, Hydrate Well, Avoid Processed Food","Strength Training, Pranayama","Gradual Warm-Up, Monitor Heart Rate"
Tuberculosis,"Heart Palpitations, Dizziness, Sweating, Loss of Appetite","Regular Checkups, Avoid Junk Food","Low Sugar, Balanced Diet","Strength Training, Deep Breathing, Stretching","Rest When Tired, Avoid Heavy Lifting"
Hepatitis B,"Fatigue, Chest Pain, Dizziness, Joint Pain","Rest, Avoid Junk Food","High Fiber, Balanced Diet","Pranayama, Meditation","Gradual Warm-Up, Rest When Tired"
Dengue,"Headache, Vomiting, Chest Pain, Shortness of Breath, Joint Pain","Take Medications, Regular Checkups, Wear a Mask","Low Sugar, Balanced Diet","Mild Cardio, Strength Training, Stretching","Gradual Warm-Up, Monitor Heart Rate, Rest When Tired"
Malaria,"Headache, Fever, Joint Pain","Wear a Mask, Avoid Junk Food","Protein Rich, Balanced Diet, High Fiber, Avoid Processed Food","Mild Cardio, Pranayama","Avoid Heavy Lifting, Monitor Heart Rate"
Pneumonia,"Cough, Fever, Shortness of Breath, Blurred Vision","Wear a Mask, Drink Water","High Fiber, Low Sugar","Stretching, Deep Breathing, Surya Namaskar","Stay Hydrated, Rest When Tired"
Chickenpox,"Fatigue, Shortness of Breath","Exercise Regularly, Regular Checkups, Avoid Junk Food, Wear a Mask","Vitamin D Rich, Protein Rich, Low Sugar","Stretching, Meditation, Mild Cardio","Monitor Heart Rate, Gradual Warm-Up, Stay Hydrated"
Measles,"Headache, Nausea, Fever","Exercise Regularly, Wear a Mask","High Fiber, Protein Rich, Hydrate Well","Deep Breathing, Stretching, Pranayama","Avoid Heavy Lifting, Rest When Tired"
